Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_base_link,0.00168664920293,-0.000530064138127048,0.0453681955050075,0,0,0,0.156946418626479,0.000204434900271981,-7.36377548971874E-07,2.97357172320139E-06,0.000119402855489155,4.58171001773265E-06,8.89150103010284E-05,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_base_link.STL,,Mirror8--0001_asm-5/Mirror8-_X2_624B638C_X0_-_X2_524D76D6_ASM-1/Mirror__ruanjiao1-1/Mirror_X2_96325C187F69_X0_-TPU-001_4_1-1;Mirror8--0001_asm-5/Mirror8-_X2_624B638C_X0_-_X2_524D76D6_ASM-1/Mirror8-_X2_624B638C_X0_-_X2_524D76_2-1;Mirror8-_X2_624B638C_X0_-_X2_540E76D6_X0_-5;Mirror_X2_4E2D5FC35757_X0_-ASM-5/Mirror8-_X2_624B638C_X0_-_X2_4E2D5FC35757_X0_-1;Mirror_X2_4E2D5FC35757_X0_-ASM-5/Mirror_X2_592762C76307_X0_-_X2_652F67B6_X0_-1;Mirror0004_asm2-17/Mirror1-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm2-17/Mirror1-_X2_51738282_X0_-1;Mirror0004_asm-17/Mirror1-_X2_51738282_X0_-1;Mirror0004_asm-17/Mirror1-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm3-17/Mirror1-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm3-17/Mirror1-_X2_51738282_X0_-1;Mirror0004_asm1-17/Mirror1-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm1-17/Mirror1-_X2_51738282_X0_-1;Mirror0004_asm4-17/Mirror1-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm4-17/Mirror1-_X2_51738282_X0_-1,SZ0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thumb_link_1,0.0121283441625976,0.000346780962483112,0.00154097471093358,0,0,0,0.00278392801372663,5.05148240731842E-08,-2.10454574936135E-09,8.03788133581144E-09,1.136300632484E-07,-1.21623866507893E-09,1.25490580061156E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_1.STL,,Mirror0004_asm2-17/Mirror2-_X2_51738282_X0_-ASM2-1/Mirror2-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm2-17/Mirror2-_X2_51738282_X0_-ASM2-1/Mirror2-_X2_51738282_X0_-1;Mirror0004_asm2-17/Mirror2-_X2_51738282_X0_-ASM2-1/Mirror_X2_7EBF69FD_X0_-001-1,D1,M_1,left_thumb_joint_1,revolute,0.0192328874807807,-0.0320362146028932,0.0523997872812908,-0.17448327037252,0.00220506619361744,-0.0245911681514775,left_base_link,-0.00644133519365978,0,0.999979254385271,0,0,-1.6,1.6,,,,,,,,
left_thumb_link_2,0.0139234225157783,-0.000495774408870789,-0.000831788737160707,0,0,0,0.00829203205481294,4.54238413727955E-07,4.21239415593662E-08,-1.56635766079371E-08,1.19323170639001E-06,4.99728653945201E-09,9.91672500133697E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_2.STL,,Mirror0004_asm2-17/Mirror3-_X2_51738282_X0__ASM2-1/Mirror3-_X2_51738282_X0_-1;Mirror0004_asm2-17/Mirror3-_X2_51738282_X0__ASM2-1/Mirror3-_X2_51738282_X0_-_X2_4E8C4FA77EF36263_X0_-1;Mirror0004_asm2-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm2-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,D2,M_2,left_thumb_joint_2,revolute,0.0194059144947378,0,0,1.57064280944819,-0.00643955011383733,0.0238354127943055,left_thumb_link_1,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_thumb_link_3,0.0163555895229811,-0.00169977030701818,-0.000759654331089606,0,0,0,0.0065889424446742,2.51646918343884E-07,-3.68459991264247E-08,-1.6043148312662E-10,6.73479253590284E-07,-2.4436117352038E-10,5.57845845236586E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_3.STL,,Mirror0004_asm2-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm2-17/Mirror4-_X2_51738282_X0__ASM2-1/Mirror4-_X2_51738282_X0_-_X2_4E2D95F47EF36263_X0_-1;Mirror0004_asm2-17/Mirror4-_X2_51738282_X0__ASM2-1/Mirror4-_X2_51738282_X0_-1;Mirror0004_asm2-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,D3,M_3,left_thumb_joint_3,revolute,0.027484655172,0,0,0,0,0,left_thumb_link_2,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_thumb_link_4,0.0153308948866093,6.84764582316311E-05,-0.00108730237610093,0,0,0,0.00447250031356173,1.48692155879126E-07,-3.70533505980315E-08,2.49459623928695E-09,4.26678774643996E-07,-8.06164503174783E-10,3.44240914234761E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_thumb_link_4.STL,,Mirror0004_asm2-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F5668_X0_-TPU-1;Mirror0004_asm2-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm2-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0__AS_M2-1/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0_-1;Mirror0004_asm2-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,D4,M_4,left_thumb_joint_4,revolute,0.0285010151100005,0,0,0,0,0,left_thumb_link_3,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_index_link_1,0.0121329675819766,8.8692728386984E-05,0.00154102680977615,0,0,0,0.00278392774972524,5.04537989496389E-08,-7.62358599015052E-10,8.00987617781092E-09,1.13691514436735E-07,-1.38848868514591E-09,1.25490352031963E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_1.STL,,Mirror0004_asm-17/Mirror2-_X2_51738282_X0_-ASM-1/Mirror2-_X2_51738282_X0_-1;Mirror0004_asm-17/Mirror2-_X2_51738282_X0_-ASM-1/Mirror2-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm-17/Mirror2-_X2_51738282_X0_-ASM-1/Mirror_X2_7EBF69FD_X0_-001-1,S1,S_1,left_index_joint_1,revolute,0.000129999977851972,-0.0336432099112126,0.0890967728601005,0.380411238954845,-1.56385707989153,2.76118971457883,left_base_link,-0.00644314383712838,0,0.999979242733315,0,0,-1.6,1.6,,,,,,,,
left_index_link_2,0.0139234426078955,-0.000495735624244834,-0.000419184083551717,0,0,0,0.00829193119190597,4.54235009124634E-07,4.21230771862871E-08,-1.56620241085726E-08,1.19323594094822E-06,4.99766274080381E-09,9.91675669100838E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_2.STL,,Mirror0004_asm-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm-17/Mirror3-_X2_51738282_X0__ASM-1/Mirror3-_X2_51738282_X0_-1;Mirror0004_asm-17/Mirror3-_X2_51738282_X0__ASM-1/Mirror3-_X2_51738282_X0_-_X2_4E8C4FA77EF36263_X0_-1,S2,S_2,left_index_joint_2,revolute,0.0194004670949033,0,0,1.57077972544573,-0.0064431670311451,0.002576594276142,left_index_link_1,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_index_link_3,0.0163555300303855,-0.00169966737275042,-0.000347146898351025,0,0,0,0.00658896863694796,2.51646967656764E-07,-3.68442105392275E-08,-1.58870293980397E-10,6.73483716133116E-07,-2.4476759049301E-10,5.57853765604237E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_3.STL,,Mirror0004_asm-17/Mirror4-_X2_51738282_X0__ASM-1/Mirror4-_X2_51738282_X0_-1;Mirror0004_asm-17/Mirror4-_X2_51738282_X0__ASM-1/Mirror4-_X2_51738282_X0_-_X2_4E2D95F47EF36263_X0_-1;Mirror0004_asm-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,S3,S_3,left_index_joint_3,revolute,0.027484655172,0,0,0,0,0,left_index_link_2,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_index_link_4,0.015330812750753,6.84522779099972E-05,-0.000674753520375673,0,0,0,0.0044724803409985,1.48691268491181E-07,-3.70531145268294E-08,2.49326932431299E-09,4.26675617116266E-07,-8.05971751624395E-10,3.4423807424302E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_index_link_4.STL,,Mirror0004_asm-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F5668_X0_-TPU-1;Mirror0004_asm-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0__AS_M-1/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0_-1,S4,S_4,left_index_joint_4,revolute,0.0285010151100001,0,0,0,0,0,left_index_link_3,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_middle_link_1,0.0122143690923557,8.96470993118625E-05,0.00110178568720551,0,0,0,0.00267488998389723,5.06258405995999E-08,-8.3546403600132E-10,1.19623439852829E-08,1.12284811261456E-07,-1.34773507237876E-09,1.22963067495561E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_1.STL,,Mirror0004_asm3-17/Mirror2-_X2_51738282_X0_-ASM3-1/Mirror2-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm3-17/Mirror2-_X2_51738282_X0_-ASM3-1/Mirror2-_X2_51738282_X0_-1,Z1,Z_1,left_middle_joint_1,revolute,0.000129999992993415,-0.010643209911212,0.0940967728601002,3.09504680973389,-1.51681106440103,0.0464781305516493,left_base_link,0.0539007725741799,0,0.998546296731357,0,0,-1.6,1.6,,,,,,,,
left_middle_link_2,0.0134705658714897,-0.00109804794791253,-0.000419199010890603,0,0,0,0.00829193120065996,4.51954080464114E-07,9.14015073959633E-09,-1.58686986446859E-08,1.19551687986071E-06,4.29654166172431E-09,9.91675679152108E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_2.STL,,Mirror0004_asm3-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm3-17/Mirror3-_X2_51738282_X0__ASM3-1/Mirror3-_X2_51738282_X0_-1;Mirror0004_asm3-17/Mirror3-_X2_51738282_X0__ASM3-1/Mirror3-_X2_51738282_X0_-_X2_4E8C4FA77EF36263_X0_-1;Mirror0004_asm3-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,Z2,Z_2,left_middle_joint_2,revolute,0.0199440555053375,0,0,1.57093231113838,0.0983918588987886,0.00252037349408585,left_middle_link_1,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_middle_link_3,0.0163554805793668,-0.00808118848358938,-0.0719008795326774,0,0,0,0.0131780288649246,5.03288186174935E-07,-7.30805950734788E-08,6.51484952631423E-09,1.34343179822104E-06,-2.01510171444369E-08,1.11924780190633E-06,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_3.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_3.STL,,0004_asm-3/4-_X2_51738282_X0__ASM-1/4-_X2_51738282_X0_-1;0004_asm-3/4-_X2_51738282_X0__ASM-1/4-_X2_51738282_X0_-_X2_4E2D95F47EF36263_X0_-1;0004_asm-3/4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;0004_asm-3/4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm3-17/Mirror4-_X2_51738282_X0__ASM3-1/Mirror4-_X2_51738282_X0_-_X2_4E2D95F47EF36263_X0_-1;Mirror0004_asm3-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm3-17/Mirror4-_X2_51738282_X0__ASM3-1/Mirror4-_X2_51738282_X0_-1;Mirror0004_asm3-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,Z3,Z_3,left_middle_joint_3,revolute,0.0269963386424268,0,0,0,0,0.0444651230881845,left_middle_link_2,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_middle_link_4,0.0153308126860099,6.84522561337358E-05,-0.00067476835702944,0,0,0,0.00447248046419253,1.48691276049799E-07,-3.70531156269425E-08,2.4932714682144E-09,4.26675624589269E-07,-8.05970059718438E-10,3.44238076752503E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_middle_link_4.STL,,Mirror0004_asm3-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F5668_X0_-TPU-1;Mirror0004_asm3-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm3-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm3-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0__AS_M3-1/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0_-1,Z4,Z_4,left_middle_joint_4,revolute,0.0285010151099999,0,0,0,0,0,left_middle_link_3,0,0,1,0,0,-1.6,1.6,,,,,,,,
left_little_link_1,0.0121329675134276,8.87021156203427E-05,0.00154102680917859,0,0,0,0.00278392774972521,5.04538001285852E-08,-7.62407445920763E-10,8.00987725595933E-09,1.13691513244161E-07,-1.3884824342202E-09,1.25490352045589E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_1.STL,,Mirror0004_asm4-17/Mirror2-_X2_51738282_X0_-ASM4-1/Mirror2-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm4-17/Mirror2-_X2_51738282_X0_-ASM4-1/Mirror2-_X2_51738282_X0_-1;Mirror0004_asm4-17/Mirror2-_X2_51738282_X0_-ASM4-1/Mirror_X2_7EBF69FD_X0_-001-1,X1,X_1,left_little_joint_1,revolute,0.00013,0.035357,0.079597,0.38051,-1.5639,2.7611,left_base_link,-0.0064431,0,0.99998,0,0,0,0,,,,,,,,
left_little_link_2,0.0139234423979704,-0.000495735718800627,-0.000419198815065608,0,0,0,0.00829193097219822,4.54234994888505E-07,4.21230768247697E-08,-1.56620479011488E-08,1.19323590636218E-06,4.99766388973294E-09,9.91675649120972E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_2.STL,,Mirror0004_asm4-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm4-17/Mirror3-_X2_51738282_X0__ASM4-1/Mirror3-_X2_51738282_X0_-1;Mirror0004_asm4-17/Mirror3-_X2_51738282_X0__ASM4-1/Mirror3-_X2_51738282_X0_-_X2_4E8C4FA77EF36263_X0_-1;Mirror0004_asm4-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,X2,X_2,left_little_joint_2,revolute,0.0194,0,0,1.5708,-0.0064432,0.0025774,left_little_link_1,0,0,1,0,0,0,0,,,,,,,,
left_little_link_3,0.0163555299881733,-0.00169966741292214,-0.000347161757937975,0,0,0,0.00658896867987305,2.51646964262451E-07,-3.68442092866941E-08,-1.58873829604124E-10,6.73483711328433E-07,-2.44762450908861E-10,5.57853761967596E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_3.STL,,Mirror0004_asm4-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm4-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm4-17/Mirror4-_X2_51738282_X0__ASM4-1/Mirror4-_X2_51738282_X0_-_X2_4E2D95F47EF36263_X0_-1;Mirror0004_asm4-17/Mirror4-_X2_51738282_X0__ASM4-1/Mirror4-_X2_51738282_X0_-1,X3,X_3,left_little_joint_3,revolute,0.027485,0,0,0,0,0,left_little_link_2,0,0,1,0,0,0,0,,,,,,,,
left_little_link_4,0.0153308089104759,6.84549837685067E-05,-0.000674765971963004,0,0,0,0.00447247833940265,1.48691244849669E-07,-3.70531041268909E-08,2.49319483880943E-09,4.26675431502724E-07,-8.05980204984297E-10,3.44237951566827E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_little_link_4.STL,,Mirror0004_asm4-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F5668_X0_-TPU-1;Mirror0004_asm4-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm4-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm4-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0__AS_M4-1/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0_-1,X4,X_4,left_little_joint_4,revolute,0.028501,0,0,0,0,0,left_little_link_3,0,0,1,0,0,0,0,,,,,,,,
left_ring_link_1,0.0121329675134276,8.87021156203288E-05,0.00154102680917863,0,0,0,0.00278392774972521,5.04538001285853E-08,-7.62407445920287E-10,8.00987725595944E-09,1.13691513244161E-07,-1.38848243422003E-09,1.25490352045589E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_1.STL,,Mirror0004_asm1-17/Mirror2-_X2_51738282_X0_-ASM1-1/Mirror2-_X2_51738282_X0_-_X2_5BFC7EBF73AF_X0_-1;Mirror0004_asm1-17/Mirror2-_X2_51738282_X0_-ASM1-1/Mirror2-_X2_51738282_X0_-1;Mirror0004_asm1-17/Mirror2-_X2_51738282_X0_-ASM1-1/Mirror_X2_7EBF69FD_X0_-001-1,W1,W_1,left_ring_joint_1,revolute,0.00013,0.012357,0.089097,0.38051,-1.5639,2.7611,left_base_link,-0.0064431,0,0.99998,0,0,0,0,,,,,,,,
left_ring_link_2,0.0139234423873446,-0.000495735712221293,-0.000419198542655291,0,0,0,0.00829193076847684,4.54234979656322E-07,4.21230752261858E-08,-1.56620588259711E-08,1.1932358934951E-06,4.9976727506429E-09,9.91675647717701E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_2.STL,,Mirror0004_asm1-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm1-17/Mirror3-_X2_51738282_X0__ASM1-1/Mirror3-_X2_51738282_X0_-1;Mirror0004_asm1-17/Mirror3-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm1-17/Mirror3-_X2_51738282_X0__ASM1-1/Mirror3-_X2_51738282_X0_-_X2_4E8C4FA77EF36263_X0_-1,W2,W_2,left_ring_joint_2,revolute,0.0194,0,0,1.5708,-0.0064432,0.0025774,left_ring_link_1,0,0,1,0,0,0,0,,,,,,,,
left_ring_link_3,0.0163555300179211,-0.00169966739641558,-0.000347161701054866,0,0,0,0.00658896866848176,2.51646963725428E-07,-3.68442071215581E-08,-1.58869673261275E-10,6.73483711506299E-07,-2.44760504455752E-10,5.57853759912679E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_3.STL,,Mirror0004_asm1-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm1-17/Mirror4-_X2_51738282_X0__ASM1-1/Mirror4-_X2_51738282_X0_-_X2_4E2D95F47EF36263_X0_-1;Mirror0004_asm1-17/Mirror4-_X2_51738282_X0__ASM1-1/Mirror4-_X2_51738282_X0_-1;Mirror0004_asm1-17/Mirror4-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1,W3,W_3,left_ring_joint_3,revolute,0.027485,0,0,0,0,0,left_ring_link_2,0,0,1,0,0,0,0,,,,,,,,
left_ring_link_4,0.0153308121376027,6.84517431433773E-05,-0.000674767994267772,0,0,0,0.00447248057434014,1.48691271379023E-07,-3.70530975072756E-08,2.49328669025995E-09,4.26675582901673E-07,-8.059572314611E-10,3.4423802570019E-07,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_left/meshes/left_ring_link_4.STL,,Mirror0004_asm1-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F5668_X0_-TPU-1;Mirror0004_asm1-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0A_X0_-1;Mirror0004_asm1-17/Mirror5-_X2_63075C16_X0_-_X2_591658F3_X0___X2_4E0B_X0_-1;Mirror0004_asm1-17/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0__AS_M1-1/Mirror5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0_-1,W4,W_4,left_ring_joint_4,revolute,0.028501,0,0,0,0,0,left_ring_link_3,0,0,1,0,0,0,0,,,,,,,,
